 latitude  |  longitude  |       speed        
 45.599848 |  -122.55067 |             49.214
 45.600907 |  -122.55085 |             51.451
 45.601975 | -122.551017 |             51.451
 45.603017 | -122.551152 |             51.451
  45.60397 | -122.551242 |              44.74
 45.604783 |  -122.55133 |             38.029
 45.605432 | -122.551123 |             31.318
 45.605612 |   -122.5503 |             31.318
 45.605158 | -122.549553 |             35.792
 45.604392 | -122.549042 |             42.503
 45.603495 | -122.548707 |              44.74
  45.60265 | -122.548223 |             42.503
 45.602192 |  -122.54731 |             38.029
 45.602067 |  -122.54616 |             35.792
 45.601953 | -122.544893 |             42.503
 45.601757 | -122.543573 |              44.74
 45.601485 | -122.542298 |              44.74
 45.601192 | -122.540935 |             49.214
 45.600868 | -122.539507 |             51.451
 45.600518 | -122.538045 |             53.688
  45.60016 | -122.536558 |             53.688
 45.599802 | -122.535072 |             53.688
 45.599447 | -122.533583 |             53.688
 45.599085 | -122.532085 |             53.688
 45.598728 | -122.530583 |             53.688
 45.598373 | -122.529088 |             53.688
 45.598017 | -122.527598 |             53.688
 45.597658 | -122.526097 |             53.688
 45.597297 | -122.524595 |             53.688
 45.596903 | -122.523113 |             53.688
 45.596498 | -122.521642 |             53.688
 45.596097 | -122.520175 |             53.688
 45.595698 | -122.518713 |             53.688
 45.595302 | -122.517253 |             53.688
 45.594897 | -122.515782 |             53.688
 45.594493 |   -122.5143 |             53.688
  45.59409 | -122.512818 |             53.688
  45.59368 | -122.511395 |             51.451
 45.593258 |  -122.51002 |             51.451
 45.592845 | -122.508713 |             49.214
 45.592467 | -122.507522 |              44.74
 45.592022 | -122.506493 | 40.266000000000005
 45.591543 | -122.505523 | 40.266000000000005
 45.591197 | -122.504627 |             33.555
 45.591158 | -122.503985 | 20.133000000000003
 45.591365 | -122.503747 |             13.422
 45.591753 |   -122.5038 | 20.133000000000003
  45.59226 | -122.503808 |             24.607
 45.592798 | -122.503813 |             24.607
 45.593333 | -122.503825 |             24.607
 45.593805 | -122.503875 |              22.37
 45.594093 | -122.503882 |             11.185
  45.59414 | -122.503888 |              2.237
  45.59414 | -122.503888 |                  0
  45.59414 | -122.503888 |                  0
  45.59415 | -122.503888 |              2.237
 45.594277 |  -122.50402 |              6.711
 45.594245 | -122.504363 |             11.185
 45.594143 | -122.504685 |             11.185
 45.594192 |  -122.50502 |             11.185
 45.594308 | -122.505312 |             11.185
 45.594428 | -122.505613 |             11.185
 45.594547 | -122.505912 |             11.185
 45.594692 | -122.506175 |             11.185
 45.594898 | -122.506137 |              8.948
  45.59488 | -122.505865 |              8.948
 45.594732 |  -122.50561 |             11.185
 45.594568 | -122.505355 |             11.185
 45.594483 | -122.505212 |              4.474
 45.594425 | -122.504937 |              6.711
 45.594297 | -122.504663 |             11.185
 45.594185 |  -122.50431 |             11.185
 45.594007 |  -122.50411 |             11.185
  45.59363 |   -122.5041 | 20.133000000000003
 45.593115 | -122.504138 |             24.607
 45.592632 | -122.504633 | 29.081000000000003
 45.592557 | -122.505588 |             33.555
  45.59279 | -122.506647 |             38.029
  45.59306 | -122.507828 |             42.503
  45.59336 | -122.509143 | 46.977000000000004
 45.593712 |  -122.51056 |             51.451
 45.594072 |  -122.51201 |             53.688
 45.594452 |   -122.5135 |             53.688
  45.59485 | -122.515033 | 55.925000000000004
 45.595267 | -122.516585 | 55.925000000000004
 45.595685 |  -122.51812 | 55.925000000000004
   45.5961 | -122.519648 | 55.925000000000004
 45.594697 | -122.505518 |             11.185
 45.594552 | -122.505275 |              8.948
   45.5945 | -122.505193 |              2.237
  45.59441 | -122.504897 |              6.711
 45.594268 | -122.504618 |             11.185
 45.594183 | -122.504303 |             11.185
 45.594105 |  -122.50411 |              8.948
  45.59366 | -122.504097 |              22.37
 45.593098 | -122.504152 |             26.844
 45.592625 | -122.504687 |             31.318
 45.592587 | -122.505698 |             35.792
 45.592838 | -122.506827 | 40.266000000000005
 45.593118 | -122.508093 | 46.977000000000004
 45.593458 | -122.509508 |             51.451
 45.593833 | -122.511018 |             53.688
 45.594217 |  -122.51255 | 55.925000000000004
 45.594592 | -122.514047 |             53.688
  45.59499 | -122.515533 |             53.688
  45.59539 |  -122.51702 |             53.688
 45.595802 |  -122.51852 | 55.925000000000004
 45.596212 |  -122.52003 | 55.925000000000004
 45.596632 | -122.521565 | 55.925000000000004
 45.597052 | -122.523102 | 55.925000000000004
  45.59746 | -122.524652 | 55.925000000000004
 45.597835 | -122.526223 | 55.925000000000004
 45.598218 | -122.527835 | 58.162000000000006
  45.59861 | -122.529477 |             60.399
    45.599 |  -122.53112 | 58.162000000000006
 45.599392 | -122.532762 | 58.162000000000006
  45.59979 | -122.534418 |             60.399
 45.600192 | -122.536107 |             60.399
 45.600597 | -122.537808 |             62.636
 45.601003 | -122.539518 |             60.399
 45.601433 | -122.541188 |             60.399
 45.601872 |   -122.5428 | 58.162000000000006
 45.602287 | -122.544363 | 55.925000000000004
 45.602657 | -122.545905 | 55.925000000000004
 45.603022 | -122.547433 |             53.688
  45.60338 | -122.548938 |             53.688
 45.603732 |   -122.5504 |             51.451
 45.604085 | -122.551767 |             49.214
 45.604367 | -122.552905 | 40.266000000000005
 45.604618 | -122.553775 |             31.318
 45.605098 | -122.554178 |             24.607
 45.605667 | -122.553958 | 29.081000000000003
  45.60589 | -122.553177 | 29.081000000000003
 45.605553 | -122.552435 |             31.318
  45.60487 | -122.552127 |             35.792
 45.604045 | -122.551908 | 40.266000000000005
 45.603098 | -122.551717 | 46.977000000000004
 45.602067 |  -122.55149 |             51.451
 45.600985 | -122.551308 |             53.688
  45.59988 |  -122.55112 |             53.688
 45.598745 | -122.550852 | 55.925000000000004
  45.59757 | -122.550513 | 58.162000000000006
  45.59641 | -122.550132 | 58.162000000000006
  45.59527 | -122.549695 | 58.162000000000006
 45.594163 | -122.549212 | 55.925000000000004
 45.593082 | -122.548668 | 55.925000000000004
 45.592002 |  -122.54807 | 55.925000000000004
 45.590928 | -122.547415 | 55.925000000000004
  45.58987 | -122.546758 | 55.925000000000004
 45.588822 | -122.546117 | 55.925000000000004
  45.58778 |  -122.54549 |             53.688
 45.586725 | -122.544945 |             53.688
 45.585647 |   -122.5445 |             53.688
  45.58456 |  -122.54417 |             53.688
 45.583473 | -122.543952 |             53.688
 45.582375 | -122.543848 |             53.688
 45.581272 | -122.543848 |             53.688
 45.580165 |  -122.54396 |             53.688
  45.57796 |  -122.54453 |             53.688
 45.576878 | -122.544982 |             53.688
  45.57584 | -122.545537 |             53.688
 45.574853 | -122.546178 |             51.451
 45.573903 | -122.546917 |             51.451
 45.572983 | -122.547762 |             53.688
 45.572102 | -122.548713 |             53.688
 45.571255 | -122.549777 |             53.688
 45.570415 |  -122.55089 | 55.925000000000004
 45.569575 | -122.552017 | 55.925000000000004
 45.568737 |  -122.55315 | 55.925000000000004
   45.5679 | -122.554275 | 55.925000000000004
 45.567078 | -122.555382 |             53.688
 45.566283 | -122.556488 |             53.688
 45.565485 | -122.557543 |             53.688
