  longitude  | latitude  |       speed        
  -122.59003 | 45.624123 | 29.081000000000003
 -122.589235 | 45.623953 |             26.844
 -122.588445 | 45.623783 |             26.844
 -122.587662 | 45.623615 |             26.844
 -122.586908 |  45.62345 |             26.844
 -122.586185 | 45.623312 |             24.607
 -122.585508 |  45.62322 |              22.37
 -122.584848 | 45.623145 |              22.37
 -122.584165 | 45.623063 |              22.37
 -122.491478 | 45.596792 | 29.081000000000003
 -122.492307 | 45.596785 |             26.844
 -122.493147 | 45.596787 | 29.081000000000003
 -122.493972 | 45.596787 |             26.844
 -122.494777 | 45.596788 |             26.844
 -122.495547 | 45.596785 |             24.607
 -122.496193 | 45.596782 | 20.133000000000003
 -122.496752 | 45.596778 |             17.896
 -122.497345 | 45.596775 | 20.133000000000003
 -122.497842 | 45.596777 |             15.659
 -122.497987 |  45.59678 |                  0
 -122.498133 | 45.596777 |              4.474
 -122.498595 | 45.596775 |             15.659
 -122.499218 | 45.596778 | 20.133000000000003
 -122.499927 | 45.596778 |             24.607
  -122.50072 | 45.596777 |             26.844
 -122.501478 | 45.596757 |             24.607
 -122.502232 | 45.596745 |             24.607
 -122.502878 | 45.596748 | 20.133000000000003
 -122.503323 |  45.59675 |             13.422
 -122.503507 | 45.596752 |              4.474
 -122.503517 | 45.596752 |                  0
 -122.503518 | 45.596752 |                  0
 -122.503518 | 45.596752 |                  0
 -122.503518 | 45.596752 |                  0
 -122.503518 | 45.596752 |                  0
 -122.503518 | 45.596752 |                  0
 -122.503518 | 45.596752 |                  0
 -122.503518 | 45.596752 |                  0
 -122.503518 | 45.596753 |                  0
 -122.503518 | 45.596753 |                  0
  -122.50352 | 45.596755 |                  0
 -122.503693 | 45.596757 |                  0
 -122.503998 | 45.596657 |             11.185
 -122.504072 | 45.596317 |             17.896
 -122.504055 | 45.595822 |             24.607
 -122.504043 | 45.595273 |             26.844
  -122.50408 | 45.594753 |             24.607
 -122.504085 |  45.59438 |             15.659
 -122.504255 | 45.594212 |              8.948
  -122.50457 | 45.594133 |             11.185
 -122.504867 |  45.59413 |              8.948
 -122.505025 | 45.594222 |              6.711
  -122.50512 | 45.594283 |              4.474
 -122.505135 | 45.594292 |                  0
 -122.505135 | 45.594292 |                  0
 -122.505135 | 45.594292 |                  0
 -122.505135 | 45.594292 |                  0
 -122.505135 | 45.594292 |                  0
 -122.505135 | 45.594292 |                  0
 -122.505135 | 45.594292 |                  0
 -122.505135 | 45.594292 |                  0
 -122.505135 | 45.594292 |                  0
 -122.505135 | 45.594292 |                  0
 -122.505135 | 45.594292 |                  0
 -122.505135 | 45.594292 |                  0
 -122.582652 |  45.62289 |             26.844
  -122.58188 | 45.622765 |             26.844
 -122.581137 | 45.622612 |             26.844
   -122.5804 | 45.622455 |             24.607
 -122.579673 | 45.622298 |             24.607
 -122.578958 | 45.622145 |             24.607
 -122.578232 | 45.621992 |             24.607
 -122.577475 | 45.621833 |             26.844
 -122.576703 | 45.621673 |             26.844
 -122.575917 | 45.621507 |             26.844
 -122.575122 |  45.62134 | 29.081000000000003
  -122.57433 | 45.621175 |             26.844
 -122.573592 | 45.621027 |             24.607
  -122.57283 | 45.620935 |             26.844
 -122.572005 | 45.620918 |             26.844
 -122.571168 | 45.620918 |             26.844
 -122.570337 | 45.620915 | 29.081000000000003
  -122.56953 | 45.620915 |             26.844
 -122.568743 | 45.620913 |             26.844
 -122.568032 |  45.62091 |              22.37
 -122.567577 | 45.620898 |             13.422
 -122.566708 | 45.620915 |              4.474
 -122.565973 | 45.620918 |             24.607
 -122.565113 | 45.620923 | 29.081000000000003
 -122.564205 | 45.620923 |             31.318
 -122.563375 | 45.620927 |             26.844
 -122.562707 | 45.620927 |              22.37
  -122.56227 | 45.620927 |             13.422
 -122.562077 | 45.620927 |              4.474
  -122.56203 | 45.620927 |                  0
 -122.561995 | 45.620927 |                  0
 -122.561962 | 45.620927 |                  0
  -122.56183 | 45.620932 |              4.474
 -122.561348 | 45.620937 |             15.659
 -122.560655 |  45.62094 |              22.37
  -122.55985 | 45.620943 |             26.844
 -122.559012 | 45.620945 |             26.844
 -122.558223 | 45.620947 |             26.844
 -122.557442 |  45.62094 |             26.844
  -122.55663 | 45.620913 |             26.844
  -122.55589 | 45.620915 |             24.607
 -122.555398 | 45.620907 |             15.659
 -122.555232 |   45.6209 |              4.474
 -122.555202 | 45.620898 |                  0
 -122.554938 | 45.620892 |              8.948
  -122.55449 | 45.620865 |             13.422
 -122.554205 | 45.620817 |              8.948
 -122.554062 | 45.620792 |              4.474
 -122.553507 | 45.620762 |              2.237
 -122.552873 |   45.6207 | 20.133000000000003
