,County,TotalPop,State
256,Dallas County,4103,Alabama
257,DeKalb County,5903,Alabama
258,DeKalb County,3070,Alabama
259,DeKalb County,7686,Alabama
260,DeKalb County,5737,Alabama
261,DeKalb County,5441,Alabama
262,DeKalb County,5941,Alabama
263,DeKalb County,9133,Alabama
264,DeKalb County,4860,Alabama
265,DeKalb County,3679,Alabama
266,DeKalb County,4067,Alabama
267,DeKalb County,3271,Alabama
268,DeKalb County,2358,Alabama
269,DeKalb County,5783,Alabama
270,DeKalb County,4265,Alabama
271,Elmore County,9701,Alabama
272,Elmore County,4646,Alabama
273,Elmore County,2570,Alabama
274,Elmore County,6942,Alabama
275,Elmore County,4398,Alabama
276,Elmore County,6752,Alabama
277,Elmore County,7126,Alabama
278,Elmore County,4341,Alabama
279,Elmore County,6657,Alabama
280,Elmore County,6193,Alabama
281,Elmore County,4203,Alabama
282,Elmore County,7312,Alabama
283,Elmore County,4253,Alabama
284,Elmore County,1751,Alabama
285,Elmore County,4144,Alabama
286,Escambia County,5598,Alabama
287,Escambia County,4169,Alabama
288,Escambia County,3994,Alabama
289,Escambia County,1788,Alabama
290,Escambia County,3739,Alabama
291,Escambia County,5563,Alabama
292,Escambia County,4793,Alabama
293,Escambia County,3866,Alabama
294,Escambia County,4111,Alabama
295,Etowah County,3691,Alabama
296,Etowah County,2562,Alabama
297,Etowah County,3938,Alabama
298,Etowah County,1796,Alabama
299,Etowah County,2047,Alabama
300,Etowah County,1111,Alabama
301,Etowah County,1293,Alabama
302,Etowah County,2671,Alabama
303,Etowah County,1460,Alabama
304,Etowah County,5114,Alabama
305,Etowah County,2895,Alabama
306,Etowah County,2318,Alabama
307,Etowah County,3639,Alabama
308,Etowah County,1721,Alabama
309,Etowah County,2295,Alabama
310,Etowah County,4946,Alabama
311,Etowah County,2602,Alabama
312,Etowah County,3653,Alabama
313,Etowah County,5072,Alabama
314,Etowah County,8376,Alabama
315,Etowah County,5237,Alabama
316,Etowah County,5149,Alabama
317,Etowah County,3780,Alabama
318,Etowah County,3797,Alabama
319,Etowah County,2897,Alabama
320,Etowah County,1656,Alabama
321,Etowah County,4699,Alabama
322,Etowah County,4720,Alabama
323,Etowah County,5559,Alabama
324,Etowah County,2438,Alabama
325,Fayette County,1509,Alabama
326,Fayette County,3202,Alabama
327,Fayette County,4201,Alabama
328,Fayette County,3889,Alabama
329,Fayette County,3856,Alabama
330,Franklin County,3778,Alabama
